Role ID,Division Code,Role Name,Default SoW Summary,Self-Study,Status
ROLE_IT_01,IT,Asmen IT,"Membantu mentor dalam pelaksanaan KBM IT; menyiapkan materi, tools, dan lab; membantu administrasi KBM seperti absensi, progress tugas, dan rekap kendala santri.",Asisten Mentor IT; Administrasi KBM IT; Network & Computer basic support.,Active
ROLE_IT_02,IT,Developer,"Membantu membangun atau merapikan web/app internal; mengerjakan task coding sesuai arahan mentor/PIC; mendokumentasikan progress, bug, dan hasil development.",React/Next.js basics; Git workflow; issue tracking.,Active
ROLE_IT_03,IT,QA Tester,Melakukan testing fitur web/app; mencatat bug dengan format yang rapi; membantu memastikan fitur berjalan sesuai kebutuhan user.,Manual testing; test cases; bug report writing.,Active
ROLE_IT_04,IT,IT Helpdesk,"Membantu troubleshooting perangkat, akun, jaringan, printer, dan kebutuhan teknis harian; mencatat masalah yang muncul; eskalasi jika belum bisa diselesaikan.",Troubleshooting checklist; basic networking; service mindset.,Active
ROLE_IT_05,IT,Network & Computer Support,"Membantu setup jaringan, komputer, proyektor, perangkat kelas/lab; pengecekan rutin perangkat; menjaga inventaris teknis.",Networking fundamentals; device inventory; preventive maintenance.,Active
ROLE_IT_06,IT,System Admin,"Membantu monitoring server/tools internal; konfigurasi ringan sesuai arahan; menjaga dokumentasi akses, SOP, dan perubahan sistem.",Linux basics; backup; access management; security hygiene.,Active
ROLE_DKV_07,DKV,Designer,"Membuat desain poster, feed, thumbnail, banner, atau aset visual unit; menjaga konsistensi style dan brand; mengarsipkan file desain.",Figma/Canva; layout; typography; design archive.,Active
ROLE_DKV_08,DKV,Video Editor,"Mengedit video dokumentasi, kajian, promosi, atau konten dakwah; menyesuaikan format output; merapikan subtitle, audio, dan thumbnail.",CapCut/Premiere/DaVinci; audio cleanup; subtitle workflow.,Active
ROLE_DKV_09,DKV,OBS Operator,"Menyiapkan scene OBS untuk livestream/event; memastikan audio, kamera, screen share, dan recording berjalan baik; checklist teknis sebelum acara.",OBS scene setup; audio routing; stream checklist.,Active
ROLE_DKV_10,DKV,Photographer,Mendokumentasikan kegiatan unit/sekolah; memilih dan mengedit foto terbaik; menyimpan dokumentasi dalam folder rapi.,Composition; lighting; photo curation; Lightroom/mobile editing.,Active
ROLE_DKV_11,DKV,Social Media,"Menyusun jadwal posting, caption, publikasi konten; memantau engagement dasar; koordinasi dengan designer/editor.",Content calendar; analytics; platform formatting.,Active
ROLE_DKV_12,DKV,Copywriter,"Menulis caption, narasi poster, artikel pendek, atau script konten; memastikan bahasa jelas, beradab, dan sesuai tone HSI BS.",Copywriting; storytelling; editorial checklist.,Active
ROLE_EN_13,EN,Asisten Mr. English,Menjadi tutor kamar/asrama untuk menghidupkan area wajib bahasa Inggris; membimbing speaking harian; menjaga English area.,English dorm tutoring; speaking habit; room mentoring.,Active
ROLE_EN_14,EN,English Module Assistant,"Membuat/merapikan modul English dorm program; mengajarkan konten modul; menyiapkan tugas, vocabulary, praktik speaking.",Module writing; vocabulary drills; assessment basics.,Active
ROLE_EN_15,EN,English Study Club Facilitator,"Mengarahkan kegiatan mingguan/dua pekanan; memfasilitasi study club, diskusi, sharing, English challenge; mencatat progress.",Facilitation; discussion prompts; progress notes.,Active
ROLE_DEEN_16,DEEN,Imam,Membantu memimpin shalat berjamaah sesuai jadwal; menjaga adab dan kesiapan sebagai imam; membantu kegiatan ibadah/pembinaan ruhiyah.,Fiqih shalat; tajwid; adab imam.,Active
ROLE_DEEN_17,DEEN,Muadzin,Mengumandangkan adzan dan iqamah sesuai jadwal; membantu ketertiban shalat; menjaga kesiapan area ibadah.,Adzan/iqamah; makharij; masjid discipline.,Active
ROLE_DEEN_18,DEEN,Asisten Tahfidz,"Membantu menyimak hafalan, muroja’ah, dan setoran santri; mencatat progress hafalan; melaporkan kendala tahfidz.",Tahsin; tracking hafalan; coaching adab Qur'an.,Active
ROLE_DEEN_19,DEEN,Asisten Mutun,Membantu program hafalan/pembelajaran mutun; menyiapkan materi/jadwal setoran; mendampingi muroja’ah dan pemahaman dasar.,Mutun basics; schedule discipline; talaqqi adab.,Active
ROLE_DEEN_20,DEEN,Pengajar TPQ,"Membantu pengajaran Al-Qur’an, tahsin, dan tajwid dasar; membimbing sesuai level; mencatat perkembangan bacaan.",Metode TPQ; tajwid dasar; child-friendly teaching.,Active
ROLE_DEEN_21,DEEN,Pengajar SDIT IQ,Membantu KBM di SDIT IQ sesuai arahan guru utama; menyiapkan perangkat ajar sederhana; mendampingi siswa dalam pembelajaran dan adab kelas.,Pedagogi dasar; classroom management; Islamic adab in class.,Active
